Token        Lexeme
------------ ------
separator    @
separator    @
keyword      integer
identifier   x
separator    ;
separator    @
identifier   x
operator     =
integer      0
separator    ;
keyword      while
separator    (
identifier   x
operator     <
integer      3
separator    )
identifier   x
operator     =
identifier   x
operator     +
integer      1
separator    ;
keyword      if
separator    (
identifier   x
operator     ==
integer      3
separator    )
keyword      write
separator    (
identifier   x
separator    )
separator    ;
keyword      otherwise
keyword      write
separator    (
integer      0
separator    )
separator    ;
keyword      fi
separator    @
EOF          
